timestamp,parrafos_involucrados,tipo_punto,fuente_utilizada,anomalia_detectada,accion_tomada,resultado_validacion
"0:14.04","p3->p4","pausa","original","ninguna detectada (barrido automatico)","sin cambios","OK"
"0:52.98","p10->p11","pausa","original","ninguna detectada (barrido automatico)","sin cambios","OK"
"1:18.59","p13->p14","pausa","original","ninguna detectada (barrido automatico)","sin cambios","OK"
"2:03.09","p20->p21","pausa","original","ninguna detectada (barrido automatico)","sin cambios","OK"
"2:25.37","p24->p25","conocido+pausa","recortado (ancla de alineacion)","residuo confirmado (retorno a audible tras silencio profundo)","recorte protegido por alineacion + microfade 40ms","verificado limpio tras el recorte"
"2:48.29","p28->p29","pausa","original","ninguna detectada (barrido automatico)","sin cambios","OK"
"3:06.85","p32->p33","aleatorio","original","ninguna detectada","sin cambios","OK"
"3:08.57","p33->p34","aleatorio","original","ninguna detectada","sin cambios","OK"
"3:16.93","p35->p36","pausa","original","ninguna detectada (barrido automatico)","sin cambios","OK"
"3:48.84","p40->p41","pausa","original","ninguna detectada (barrido automatico)","sin cambios","OK"
"4:14.95","p47->p48","conocido+pausa","recortado (ancla de alineacion)","residuo confirmado (retorno a audible tras silencio profundo)","recorte protegido por alineacion + microfade 40ms","verificado limpio tras el recorte"
"4:52.88","p57->p58","conocido+pausa","recortado (ancla de alineacion)","residuo confirmado (retorno a audible tras silencio profundo)","recorte protegido por alineacion + microfade 40ms","verificado limpio tras el recorte"
"5:06.47","p60->p61","conocido+pausa+aleatorio","original","ninguna detectada (barrido automatico)","sin cambios","OK"
"5:39.46","p66->p67","pausa","recortado (ancla de alineacion)","residuo confirmado (retorno a audible tras silencio profundo)","recorte protegido por alineacion + microfade 40ms","verificado limpio tras el recorte"
"5:47.39","p67->p68","aleatorio","original","ninguna detectada","sin cambios","OK"
"6:05.22","p72->p73","pausa","original","ninguna detectada (barrido automatico)","sin cambios","OK"
"6:43.38","p79->p80","pausa","original","ninguna detectada (barrido automatico)","sin cambios","OK"
"7:09.87","p83->p84","pausa","recortado (ancla de alineacion)","residuo confirmado (retorno a audible tras silencio profundo)","recorte protegido por alineacion + microfade 40ms","verificado limpio tras el recorte"
"7:36.53","p87->p88","aleatorio","original","ninguna detectada","sin cambios","OK"
"7:43.87","p90->p91","pausa","original","ninguna detectada (barrido automatico)","sin cambios","OK"
"8:13.15","p96->p97","pausa","original","ninguna detectada (barrido automatico)","sin cambios","OK"
"8:55.58","p105->p106","pausa","original","ninguna detectada (barrido automatico)","sin cambios","OK"
"9:20.04","p109->p110","aleatorio","original","ninguna detectada","sin cambios","OK"
"9:27.25","p111->p112","pausa","recortado (ancla de alineacion)","residuo confirmado (retorno a audible tras silencio profundo)","recorte protegido por alineacion + microfade 40ms","verificado limpio tras el recorte"
"10:00.92","p115->p116","pausa","original","ninguna detectada (barrido automatico)","sin cambios","OK"
"10:29.19","p122->p123","pausa","original","ninguna detectada (barrido automatico)","sin cambios","OK"
"11:07.11","p130->p131","pausa","original","ninguna detectada (barrido automatico)","sin cambios","OK"
"11:25.06","p133->p134","pausa","recortado (ancla de alineacion)","residuo confirmado (retorno a audible tras silencio profundo)","recorte protegido por alineacion + microfade 40ms","verificado limpio tras el recorte"
"11:53.83","p137->p138","pausa","recortado (ancla de alineacion)","residuo confirmado (retorno a audible tras silencio profundo)","recorte protegido por alineacion + microfade 40ms","verificado limpio tras el recorte"
"12:18.56","p142->p143","aleatorio","original","ninguna detectada","sin cambios","OK"
"12:27.06","p144->p145","pausa","original","ninguna detectada (barrido automatico)","sin cambios","OK"
"12:42.12","p146->p147","pausa","original","ninguna detectada (barrido automatico)","sin cambios","OK"
"13:15.96","p152->p153","pausa","recortado (ancla de alineacion)","residuo confirmado (retorno a audible tras silencio profundo)","recorte protegido por alineacion + microfade 40ms","verificado limpio tras el recorte"
"13:40.79","p158->p159","pausa","original","ninguna detectada (barrido automatico)","sin cambios","OK"
"14:14.30","p164->p165","pausa","original","ninguna detectada (barrido automatico)","sin cambios","OK"
"14:43.49","p169->p170","pausa","original","ninguna detectada (barrido automatico)","sin cambios","OK"
"15:14.81","p172->p173","pausa","recortado (ancla de alineacion)","residuo confirmado (retorno a audible tras silencio profundo)","recorte protegido por alineacion + microfade 40ms","verificado limpio tras el recorte"
"15:58.85","p179->p180","pausa","original","ninguna detectada (barrido automatico)","sin cambios","OK"
"16:41.41","p184->p185","pausa","original","ninguna detectada (barrido automatico)","sin cambios","OK"
"17:09.81","p190->p191","pausa","original","ninguna detectada (barrido automatico)","sin cambios","OK"
"17:42.10","p197->p198","pausa","original","ninguna detectada (barrido automatico)","sin cambios","OK"
"18:00.75","p203->p204","pausa","original","ninguna detectada (barrido automatico)","sin cambios","OK"
"18:28.07","p208->p209","pausa","original","ninguna detectada (barrido automatico)","sin cambios","OK"
"18:59.26","p213->p214","aleatorio","original","ninguna detectada","sin cambios","OK"
"19:06.82","p215->p216","pausa","original","ninguna detectada (barrido automatico)","sin cambios","OK"
"19:23.43","p219->p220","pausa","original","ninguna detectada (barrido automatico)","sin cambios","OK"
"19:42.39","p223->p224","conocido+pausa","original","cola presente pero por debajo del umbral de deteccion automatica -- inconclusa","sin cambios, pendiente de confirmacion por oido","incluido en paquete de control para revision"
"20:13.33","p228->p229","pausa+aleatorio","original","ninguna detectada (barrido automatico)","sin cambios","OK"
"20:33.61","p231->p232","pausa","recortado (ancla de alineacion)","residuo confirmado (retorno a audible tras silencio profundo)","recorte protegido por alineacion + microfade 40ms","verificado limpio tras el recorte"
"20:47.76","p233->p234","aleatorio","original","ninguna detectada","sin cambios","OK"
"21:02.66","p237->p238","pausa+aleatorio","original","ninguna detectada (barrido automatico)","sin cambios","OK"
"21:15.09","p239->p240","pausa+aleatorio","original","ninguna detectada (barrido automatico)","sin cambios","OK"
"21:45.24","p244->p245","pausa","original","ninguna detectada (barrido automatico)","sin cambios","OK"
"22:07.60","p249->p250","pausa","original","ninguna detectada (barrido automatico)","sin cambios","OK"
"22:46.63","p255->p256","pausa","recortado (ancla de alineacion)","residuo confirmado (retorno a audible tras silencio profundo)","recorte protegido por alineacion + microfade 40ms","verificado limpio tras el recorte"
"23:22.37","p262->p263","pausa","original","ninguna detectada (barrido automatico)","sin cambios","OK"
"23:40.19","p265->p266","pausa","original","ninguna detectada (barrido automatico)","sin cambios","OK"
"24:25.85","p274->p275","pausa","original","ninguna detectada (barrido automatico)","sin cambios","OK"
"24:50.03","p278->p279","pausa","original","ninguna detectada (barrido automatico)","sin cambios","OK"
"25:23.65","p283->p284","pausa","recortado (ancla de alineacion)","residuo confirmado (retorno a audible tras silencio profundo)","recorte protegido por alineacion + microfade 40ms","verificado limpio tras el recorte"
"25:53.10","p290->p291","pausa","original","ninguna detectada (barrido automatico)","sin cambios","OK"
"26:09.85","p293->p294","aleatorio","original","ninguna detectada","sin cambios","OK"
"26:15.84","p294->p295","pausa","original","ninguna detectada (barrido automatico)","sin cambios","OK"
"26:41.97","p299->p300","pausa","original","ninguna detectada (barrido automatico)","sin cambios","OK"
"26:53.31","p301->p302","pausa","original","ninguna detectada (barrido automatico)","sin cambios","OK"
"27:08.74","p303->p304","aleatorio","original","ninguna detectada","sin cambios","OK"
"27:18.30","p304->p305","pausa","original","ninguna detectada (barrido automatico)","sin cambios","OK"
"27:39.41","p308->p309","pausa","original","ninguna detectada (barrido automatico)","sin cambios","OK"
"28:10.51","p312->p313","pausa","original","ninguna detectada (barrido automatico)","sin cambios","OK"
"28:48.04","p317->p318","pausa","original","ninguna detectada (barrido automatico)","sin cambios","OK"
